"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","场景：夹爪数据-V2格式信息校验","0","1","步骤9：轮询正在转换列表","0"
"0","","0","场景：夹爪数据-V2格式信息校验","1","0","步骤12：按步骤3标注开始和结束时间提取parquet图片","0"
"0","","0","场景：夹爪数据-V2格式信息校验","1","0","步骤21：提取步骤3开始和结束时间的MCAP七维向量","0"
"0","","0","场景：夹爪数据-V2格式信息校验","0","1","步骤6：提交标注","0"
"0","","0","场景：夹爪数据-V2格式信息校验","1","0","步骤28：提取步骤5开始和结束时间的parquet七维向量","0"
"0","","1","场景：夹爪数据-V2格式信息校验","0","0","步骤26：对比步骤4开始和结束时间的MCAP与parquet七维向量","0"
"0","","0","场景：夹爪数据-V2格式信息校验","0","1","步骤4：新增L2层标注第一段","0"
"0","","0","场景：夹爪数据-V2格式信息校验","1","0","步骤1：查询任务列表","0"
"0","","0","场景：夹爪数据-V2格式信息校验","0","1","步骤7：完成质检","0"
"0","","1","场景：夹爪数据-V2格式信息校验","0","0","步骤29：对比步骤5开始和结束时间的MCAP与parquet七维向量","0"
"0","","0","场景：夹爪数据-V2格式信息校验","0","1","步骤2：查询标注workspace","0"
"0","","0","场景：夹爪数据-V2格式信息校验","1","0","步骤11：下载parquet文件","0"
"0","","1","场景：夹爪数据-V2格式信息校验","0","0","步骤23：对比步骤3开始和结束时间的MCAP与parquet七维向量","0"
"0","","0","场景：夹爪数据-V2格式信息校验","1","0","步骤16：按步骤4标注开始和结束时间提取原始mcap图片","0"
"0","","0","场景：夹爪数据-V2格式信息校验","1","0","步骤15：按步骤4标注开始和结束时间提取parquet图片","0"
"0","","0","场景：夹爪数据-V2格式信息校验","1","0","步骤8：发起数据转换","0"
"0","","0","场景：夹爪数据-V2格式信息校验","0","1","步骤3：新增L1层标注","0"
"0","","0","场景：夹爪数据-V2格式信息校验","1","0","步骤24：提取步骤4开始和结束时间的MCAP七维向量","0"
"0","","0","场景：夹爪数据-V2格式信息校验","1","0","步骤27：提取步骤5开始和结束时间的MCAP七维向量","0"
"0","","0","场景：夹爪数据-V2格式信息校验","1","0","步骤20：校验步骤5标注开始和结束时间的左右相机图片一致性","0"
"0","","0","场景：夹爪数据-V2格式信息校验","1","0","步骤17：校验步骤4标注开始和结束时间的左右相机图片一致性","0"
"0","","0","场景：夹爪数据-V2格式信息校验","1","0","步骤22：提取步骤3开始和结束时间的parquet七维向量","0"
"0","","0","场景：夹爪数据-V2格式信息校验","1","0","步骤19：按步骤5标注开始和结束时间提取原始mcap图片","0"
"0","","0","场景：夹爪数据-V2格式信息校验","1","0","步骤13：按步骤3标注开始和结束时间提取原始mcap图片","0"
"0","","0","场景：夹爪数据-V2格式信息校验","1","0","步骤18：按步骤5标注开始和结束时间提取parquet图片","0"
"0","","0","场景：夹爪数据-V2格式信息校验","1","0","步骤25：提取步骤4开始和结束时间的parquet七维向量","0"
"0","","0","场景：夹爪数据-V2格式信息校验","1","0","步骤14：校验步骤3标注开始和结束时间的左右相机图片一致性","0"
"0","","0","场景：夹爪数据-V2格式信息校验","0","1","步骤5：新增L2层标注第二段","0"
"0","","0","场景：夹爪数据-V2格式信息校验","0","1","步骤10：查询已转换完成列表","0"
