"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_poll_active_conversion","testcase","Mon Jul 20 17:53:29 CST 2026","skipped","Mon Jul 20 17:53:29 CST 2026","TestV2Verify","test_v2_verify","",""
"","889","test_extract_parquet_images_by_step3_times","testcase","Mon Jul 20 17:54:08 CST 2026","passed","Mon Jul 20 17:54:09 CST 2026","TestV2Verify","test_v2_verify","",""
"","946","test_extract_step3_robot_vectors_from_mcap","testcase","Mon Jul 20 17:59:25 CST 2026","passed","Mon Jul 20 17:59:26 CST 2026","TestV2Verify","test_v2_verify","",""
"","0","test_submit_annotation","testcase","Mon Jul 20 17:53:29 CST 2026","skipped","Mon Jul 20 17:53:29 CST 2026","TestV2Verify","test_v2_verify","",""
"","23","test_extract_step5_robot_vectors_from_parquet","testcase","Mon Jul 20 17:59:28 CST 2026","passed","Mon Jul 20 17:59:28 CST 2026","TestV2Verify","test_v2_verify","",""
"","13","test_compare_step4_robot_vectors","testcase","Mon Jul 20 17:59:27 CST 2026","failed","Mon Jul 20 17:59:27 CST 2026","TestV2Verify","test_v2_verify","",""
"","1","test_create_l2_annotation_segment_first","testcase","Mon Jul 20 17:53:29 CST 2026","skipped","Mon Jul 20 17:53:29 CST 2026","TestV2Verify","test_v2_verify","",""
"","226","test_query_task_info","testcase","Mon Jul 20 17:53:29 CST 2026","passed","Mon Jul 20 17:53:29 CST 2026","TestV2Verify","test_v2_verify","",""
"","0","test_complete_task_qc","testcase","Mon Jul 20 17:53:29 CST 2026","skipped","Mon Jul 20 17:53:29 CST 2026","TestV2Verify","test_v2_verify","",""
"","11","test_compare_step5_robot_vectors","testcase","Mon Jul 20 17:59:28 CST 2026","failed","Mon Jul 20 17:59:28 CST 2026","TestV2Verify","test_v2_verify","",""
"","14","test_query_annotation_workspace","testcase","Mon Jul 20 17:53:29 CST 2026","skipped","Mon Jul 20 17:53:29 CST 2026","TestV2Verify","test_v2_verify","",""
"","38419","test_download_parquet_file","testcase","Mon Jul 20 17:53:29 CST 2026","passed","Mon Jul 20 17:54:08 CST 2026","TestV2Verify","test_v2_verify","",""
"","10","test_compare_step3_robot_vectors","testcase","Mon Jul 20 17:59:26 CST 2026","failed","Mon Jul 20 17:59:26 CST 2026","TestV2Verify","test_v2_verify","",""
"","107681","test_extract_mcap_images_by_step4_times","testcase","Mon Jul 20 17:55:50 CST 2026","passed","Mon Jul 20 17:57:38 CST 2026","TestV2Verify","test_v2_verify","",""
"","969","test_extract_parquet_images_by_step4_times","testcase","Mon Jul 20 17:55:49 CST 2026","passed","Mon Jul 20 17:55:50 CST 2026","TestV2Verify","test_v2_verify","",""
"","2","test_create_conversion","testcase","Mon Jul 20 17:53:29 CST 2026","passed","Mon Jul 20 17:53:29 CST 2026","TestV2Verify","test_v2_verify","",""
"","0","test_create_l1_annotation_segments","testcase","Mon Jul 20 17:53:29 CST 2026","skipped","Mon Jul 20 17:53:29 CST 2026","TestV2Verify","test_v2_verify","",""
"","983","test_extract_step4_robot_vectors_from_mcap","testcase","Mon Jul 20 17:59:26 CST 2026","passed","Mon Jul 20 17:59:27 CST 2026","TestV2Verify","test_v2_verify","",""
"","823","test_extract_step5_robot_vectors_from_mcap","testcase","Mon Jul 20 17:59:27 CST 2026","passed","Mon Jul 20 17:59:28 CST 2026","TestV2Verify","test_v2_verify","",""
"","164","test_compare_step5_mcap_and_parquet_camera_images","testcase","Mon Jul 20 17:59:25 CST 2026","passed","Mon Jul 20 17:59:25 CST 2026","TestV2Verify","test_v2_verify","",""
"","164","test_compare_step4_mcap_and_parquet_camera_images","testcase","Mon Jul 20 17:57:38 CST 2026","passed","Mon Jul 20 17:57:38 CST 2026","TestV2Verify","test_v2_verify","",""
"","114","test_extract_step3_robot_vectors_from_parquet","testcase","Mon Jul 20 17:59:26 CST 2026","passed","Mon Jul 20 17:59:26 CST 2026","TestV2Verify","test_v2_verify","",""
"","105900","test_extract_mcap_images_by_step5_times","testcase","Mon Jul 20 17:57:39 CST 2026","passed","Mon Jul 20 17:59:25 CST 2026","TestV2Verify","test_v2_verify","",""
"","100353","test_extract_mcap_images_by_step3_times","testcase","Mon Jul 20 17:54:09 CST 2026","passed","Mon Jul 20 17:55:49 CST 2026","TestV2Verify","test_v2_verify","",""
"","1020","test_extract_parquet_images_by_step5_times","testcase","Mon Jul 20 17:57:38 CST 2026","passed","Mon Jul 20 17:57:39 CST 2026","TestV2Verify","test_v2_verify","",""
"","24","test_extract_step4_robot_vectors_from_parquet","testcase","Mon Jul 20 17:59:27 CST 2026","passed","Mon Jul 20 17:59:27 CST 2026","TestV2Verify","test_v2_verify","",""
"","160","test_compare_mcap_and_parquet_camera_images","testcase","Mon Jul 20 17:55:49 CST 2026","passed","Mon Jul 20 17:55:49 CST 2026","TestV2Verify","test_v2_verify","",""
"","1","test_create_l2_annotation_segment_second","testcase","Mon Jul 20 17:53:29 CST 2026","skipped","Mon Jul 20 17:53:29 CST 2026","TestV2Verify","test_v2_verify","",""
"","1","test_check_finished_conversion","testcase","Mon Jul 20 17:53:29 CST 2026","skipped","Mon Jul 20 17:53:29 CST 2026","TestV2Verify","test_v2_verify","",""
